"","Gene","p.value","q.value"
"ZNF260","ZNF260",1.3219424982322e-18,2.26911429821557e-14
"FPGT","FPGT",7.73423353993163e-11,1.32758118712926e-06
"RP11.702H23.6","RP11.702H23.6",1.44447721623783e-07,0.00247944514167224
"ZNF271P","ZNF271P",4.91477722323334e-07,0.00843621510368002
"RP11.1143G9.4","RP11.1143G9.4",4.36146345867235e-07,0.00748645202681109
"RP11.66B24.4","RP11.66B24.4",7.58988531372383e-14,1.3028038141007e-09
"RP11.156E6.1","RP11.156E6.1",1.17270037167345e-15,2.01294018797747e-11
"CTD.2033A16.1","CTD.2033A16.1",6.92543620488776e-08,0.00118875112456898
"RP11.311F12.2","RP11.311F12.2",4.82742019925134e-07,0.00828626677201493
"RP11.49K24.8","RP11.49K24.8",1.42232107771803e-06,0.02441414129903
"AC006262.5","AC006262.5",6.63764324389972e-13,1.13935146281539e-08
"MIR222HG","MIR222HG",5.11407982599363e-07,0.00877831802131806
"RP4.568C11.4","RP4.568C11.4",4.01083494708666e-08,0.000688459818667425
"PIGW","PIGW",8.23557686098424e-15,1.41363676818794e-10
"ZNF670","ZNF670",2.66087363293661e-16,4.56738959093568e-12
"EBLN3","EBLN3",1.05537058383651e-06,0.0181154360715537
