"","Gene","p.value","q.value"
"CYP3A5","CYP3A5",1.21531154944313e-06,0.0208608227461913
"SERPINE1","SERPINE1",9.54944219090624e-08,0.00163916175206906
"AGR2","AGR2",1.87665881146769e-53,3.22128484988429e-49
"FSD1L","FSD1L",5.32417325496336e-07,0.0091389433921446
"NMRK1","NMRK1",1.25806939311354e-09,2.1594761132794e-05
"MEGF9","MEGF9",9.84128614228906e-07,0.0168925676632392
"TGFBR1","TGFBR1",1.57121217615233e-06,0.0269698570036548
"DDX58","DDX58",3.23274879057894e-07,0.00554901329902875
"PIP5K1B","PIP5K1B",3.90727106036954e-13,6.70683077512432e-09
"PHYH","PHYH",1.0258000662659e-07,0.00176078581374542
"CCSER2","CCSER2",1.92148480135035e-07,0.00329822866151788
"LIPA","LIPA",2.74934204211849e-08,0.000471924561529639
"DKK1","DKK1",2.87073146060134e-21,4.9276105521222e-17
"TBC1D12","TBC1D12",4.53672737866175e-08,0.000778729254547289
"ALDH3A1","ALDH3A1",1.05607339767292e-21,1.81274998710556e-17
"PMP22","PMP22",3.79699213913553e-07,0.00651753700682614
"ANXA10","ANXA10",1.99198651706671e-16,3.41924485654501e-12
"TRIM2","TRIM2",3.83819648003148e-15,6.58826425797404e-11
"NEIL3","NEIL3",6.52054549266527e-09,0.000111925163381599
"NCAPG","NCAPG",2.36078184489115e-13,4.05228203675566e-09
"PPARGC1A","PPARGC1A",1.11838326743976e-08,0.000191970487856034
"SC5D","SC5D",7.28026775942468e-15,1.24965796090525e-10
"HIPK3","HIPK3",8.60264960312468e-11,1.47664480437635e-06
"EXPH5","EXPH5",1.21419041269638e-08,0.000208415784339334
"RAD51AP1","RAD51AP1",5.22570318481885e-07,0.00896991951674155
"SLC38A1","SLC38A1",8.17312524569275e-14,1.40291694842316e-09
"UHRF1BP1L","UHRF1BP1L",1.23863998295003e-07,0.00212612553073372
"CHPT1","CHPT1",9.02355551026296e-08,0.00154889330333664
"C2CD5","C2CD5",4.99493261844884e-09,8.57380183956743e-05
"TDP2","TDP2",1.26053632785925e-06,0.0216371060677041
"FRK","FRK",1.06629884761899e-08,0.0001830301971938
"MAN1A1","MAN1A1",3.53908745265327e-07,0.00607484361247934
"FBXO5","FBXO5",1.46851060424104e-13,2.52069845217974e-09
"CAP2","CAP2",4.39383444554185e-16,7.54201682577259e-12
"BAG2","BAG2",7.00081639322141e-11,1.20169013389645e-06
"RAB23","RAB23",4.74693247704811e-07,0.00814810959685308
"AIM1","AIM1",1.30520644580189e-07,0.00224038686421895
"B3GAT2","B3GAT2",2.02270251826912e-13,3.47196887260895e-09
"FIG4","FIG4",2.35980260605559e-07,0.00405060117329442
"HECA","HECA",3.64682434825166e-07,0.00625977399377398
"ADGRG6","ADGRG6",2.69721374495561e-11,4.62976739321631e-07
"TTK","TTK",1.38091844721158e-25,2.37034651463867e-21
"NNT","NNT",4.48421457947077e-10,7.69715432566157e-06
"LOX","LOX",1.21827436710137e-17,2.0911679511295e-13
"SPARC","SPARC",7.92380292703136e-27,1.36012077242493e-22
"CLK4","CLK4",3.82092731420435e-10,6.55862173483176e-06
"CCNG1","CCNG1",7.6263882962654e-23,1.30906955105396e-18
"ARRDC3","ARRDC3",1.64390020892003e-06,0.0282175470861123
"NR3C1","NR3C1",3.47839158177862e-08,0.000597065915012301
"LIFR","LIFR",1.14676562916888e-08,0.000196842320246838
"TRIM23","TRIM23",9.09235358345801e-07,0.0156070249260057
"TRAPPC13","TRAPPC13",9.49295211641674e-08,0.00162946523078293
"TTC33","TTC33",1.06675605201365e-06,0.0183108676328143
"HGD","HGD",2.40899646848891e-20,4.13504243816122e-16
"ARL6","ARL6",7.29967517160553e-09,0.000125298924320609
"CEP70","CEP70",4.59371630028874e-18,7.88511402944563e-14
"KAT2B","KAT2B",1.12986791778147e-07,0.00193941828087189
"USP9Y","USP9Y",2.27528252673034e-09,3.90552245713262e-05
"C3orf14","C3orf14",5.0197100992478e-07,0.00861633238535886
"BBX","BBX",4.09704006487679e-07,0.00703256927136101
"IFT57","IFT57",2.83362783374359e-06,0.0486392217662087
"GNB4","GNB4",1.94744542593014e-14,3.34279007360909e-10
"WDR48","WDR48",4.78980278559603e-07,0.00822169648147559
"KLHL24","KLHL24",1.77902768528211e-07,0.00305370102178674
"SLC35F5","SLC35F5",1.13903764930757e-06,0.0195515812503644
"GCA","GCA",1.10711838440426e-07,0.00190036870682992
"CLIP4","CLIP4",2.87734995386102e-06,0.0493897119580244
"CCDC88A","CCDC88A",9.84997211722027e-10,1.69074771392086e-05
"LANCL1","LANCL1",1.19477364156385e-09,2.05082895574435e-05
"EFEMP1","EFEMP1",2.78248033285993e-26,4.77612749135406e-22
"FN1","FN1",3.28772389192234e-07,0.0056433780604847
"PAPOLG","PAPOLG",5.37543941680681e-10,9.22694175894889e-06
"PRKD3","PRKD3",8.11041326840282e-10,1.39215243752134e-05
"RMDN2","RMDN2",4.33981084585372e-10,7.44928531690791e-06
"KYNU","KYNU",1.87850043127819e-09,3.22444599028902e-05
"ORC4","ORC4",1.71927899968835e-08,0.000295114240296505
"RALGPS2","RALGPS2",4.1842399053401e-07,0.00718224779751628
"DOCK7","DOCK7",7.91802058183452e-08,0.00135912823287189
"SWT1","SWT1",5.92190049512673e-08,0.0010164942199885
"LEPR","LEPR",6.06911951454267e-08,0.00104176436467125
"PLA2G4A","PLA2G4A",4.19999604004913e-12,7.20929320274434e-08
"RGS2","RGS2",2.01435363924751e-09,3.45763802176836e-05
"CTBS","CTBS",7.70922000828619e-08,0.00132328761442232
"KLHL12","KLHL12",9.52625084800314e-08,0.00163518095805974
"SSX2IP","SSX2IP",2.45652655878794e-08,0.00042166278381595
"GBP3","GBP3",9.63728564905047e-07,0.0165424008165951
"SLC19A2","SLC19A2",7.10424758971811e-10,1.21944409877511e-05
"CNN3","CNN3",8.05297668946425e-26,1.38229344874654e-21
"F3","F3",7.82715805009311e-09,0.000134353167929848
"NEK2","NEK2",2.70445969295963e-16,4.64220506296521e-12
"KIF14","KIF14",2.00091592255646e-14,3.43457218106816e-10
"FASTKD2","FASTKD2",4.0204487535308e-13,6.90110028543561e-09
"RAB32","RAB32",4.05242788954599e-12,6.95599247240569e-08
"CTGF","CTGF",1.66740164308166e-13,2.86209492034966e-09
"ZNF430","ZNF430",3.39892264928126e-10,5.83425072749128e-06
"ABCG2","ABCG2",3.24799939205505e-09,5.57519095646249e-05
"GDA","GDA",1.00671821732294e-07,0.00172803182003482
"CPSF3","CPSF3",2.85408620144907e-09,4.89903896478732e-05
"FAM206A","FAM206A",6.76609622996211e-12,1.161400417873e-07
"CNRIP1","CNRIP1",2.09126138370648e-11,3.58965016513218e-07
"EPCAM","EPCAM",1.88636108726732e-08,0.000323793880629436
"GPAM","GPAM",4.18229496320716e-07,0.00717890930434509
"PPP1R3C","PPP1R3C",3.78158599057798e-12,6.4910923528271e-08
"GNA13","GNA13",3.54083780814607e-09,6.07784809768274e-05
"CD274","CD274",2.79913364768795e-06,0.0480471290625636
"MASTL","MASTL",1.38009714383362e-08,0.00023689367473904
"NR2C1","NR2C1",1.78924067300099e-06,0.030712316152062
"MTERF2","MTERF2",2.41339383000442e-10,4.14259050920258e-06
"SOCS2","SOCS2",4.14970364743442e-08,0.000712296631082119
"NFYB","NFYB",1.42020458792988e-12,2.43778117518163e-08
"RDH10","RDH10",4.33975939250556e-09,7.4491969972358e-05
"PLBD1","PLBD1",4.09702604056334e-13,7.03254519862698e-09
"KIF18A","KIF18A",2.87547931552941e-11,4.93576024510624e-07
"DEPDC7","DEPDC7",2.9075772324426e-16,4.99085631948772e-12
"TBC1D15","TBC1D15",1.23170918432847e-08,0.000211422881489981
"POLK","POLK",2.73039108825202e-09,4.68671630298459e-05
"FAM126A","FAM126A",7.56705880832468e-11,1.29888564444893e-06
"TRIM24","TRIM24",1.86291957064831e-06,0.0319770144301782
"CALD1","CALD1",3.99598347695259e-12,6.85910563818911e-08
"NUDT10","NUDT10",1.28935291447419e-08,0.000221317427769495
"PLAU","PLAU",7.85579726101487e-16,1.3484475998532e-11
"SRGN","SRGN",4.60593589262917e-15,7.90608895969798e-11
"BICC1","BICC1",6.2882709467307e-10,1.07938170800633e-05
"P4HA1","P4HA1",7.10439853802434e-10,1.21947000905188e-05
"ZWINT","ZWINT",3.14252149237895e-08,0.000539413814166847
"IFT81","IFT81",1.02655207639948e-09,1.76207663913971e-05
"CDKN2C","CDKN2C",2.8090301986907e-07,0.00482170033605258
"NECAB1","NECAB1",2.28535119854459e-07,0.00392280533230178
"CENPK","CENPK",8.26816882008587e-12,1.41923117796774e-07
"STIL","STIL",1.11112180333916e-09,1.90724057543167e-05
"TTC21B","TTC21B",6.59796301783636e-08,0.00113254035201161
"NMI","NMI",1.25381364883426e-06,0.02152171128224
"VAMP7","VAMP7",1.35920014139408e-09,2.33306704270294e-05
"POF1B","POF1B",1.58082481266196e-29,2.71348579093426e-25
"MRS2","MRS2",7.48925888965152e-07,0.0128553128840868
"EREG","EREG",6.7491450505546e-16,1.1584907479277e-11
"RAP2A","RAP2A",3.0702788036655e-08,0.000527013356649183
"INSIG2","INSIG2",3.49249433836498e-12,5.99486653180349e-08
"ATG4C","ATG4C",9.24653815370531e-14,1.58716827408352e-09
"ZNF436","ZNF436",3.7865915858712e-09,6.49968445714791e-05
"AMOT","AMOT",2.68290466958294e-06,0.0460520586533912
"DLGAP5","DLGAP5",9.83870972075056e-22,1.68881452356683e-17
"ZBTB1","ZBTB1",1.70559685606496e-06,0.0292765700343551
"SGPP1","SGPP1",2.12350514807002e-11,3.6449965866622e-07
"RHOT1","RHOT1",9.86511430737539e-07,0.0169334687086099
"ZNF484","ZNF484",3.67257108861779e-08,0.000630396827361244
"TSPAN8","TSPAN8",1.36364418877617e-22,2.3406952500343e-18
"DYRK2","DYRK2",3.14126342894675e-08,0.00053919786757871
"TNFRSF19","TNFRSF19",8.54495692385449e-07,0.0146674185597962
"GNG11","GNG11",1.19172664784975e-07,0.00204559879103409
"GNAI1","GNAI1",1.23708164594273e-18,2.12345064526069e-14
"MTERF1","MTERF1",4.54510576551897e-07,0.00780167404651332
"SGCE","SGCE",2.27167907765576e-07,0.0038993371367961
"POT1","POT1",2.41959077264164e-14,4.15322756123938e-10
"DNAJB9","DNAJB9",7.98833632875047e-11,1.37119793083002e-06
"MYO1B","MYO1B",3.55905720638486e-09,6.10912169475961e-05
"THAP10","THAP10",8.52610602464455e-10,1.46350609913024e-05
"CCNT1","CCNT1",1.72187056218589e-06,0.0295559081999208
"PUS7L","PUS7L",7.33391933846345e-23,1.25886725444725e-18
"RPS4Y1","RPS4Y1",3.53639349497687e-19,6.0702194341278e-15
"PUDP","PUDP",3.30736005824995e-08,0.000567708353998603
"MOSPD2","MOSPD2",5.61117573915771e-10,9.63158315626422e-06
"QRSL1","QRSL1",2.12899843585399e-06,0.0365442581514338
"ZNF426","ZNF426",4.48556682254527e-07,0.00769947545089896
"PRRG1","PRRG1",5.83048526919347e-08,0.00100080279645706
"TXLNGY","TXLNGY",9.2300726525613e-12,1.58434197081215e-07
"AKAP12","AKAP12",8.67095339831864e-11,1.48836915082139e-06
"SH3BGRL","SH3BGRL",6.64441177742851e-17,1.1405132815956e-12
"KIF3A","KIF3A",1.06890991345454e-06,0.0183478386644471
"MAP1B","MAP1B",1.94709745884671e-12,3.34219278811038e-08
"TOP2A","TOP2A",8.65918202265358e-11,1.48634859418849e-06
"GCH1","GCH1",8.43122705541483e-08,0.00144722012406196
"TRIM5","TRIM5",2.08410386274184e-07,0.00357736428039637
"FIGNL1","FIGNL1",1.17495099782074e-06,0.020168033877593
"DCTN4","DCTN4",1.32226796706048e-07,0.00226967296545931
"ZMYM5","ZMYM5",4.45927979164455e-08,0.000765435376235787
"USPL1","USPL1",1.63206382124208e-08,0.000280143754916203
"MYH10","MYH10",6.93301666998052e-19,1.19005231140216e-14
"COG6","COG6",1.39604967125515e-06,0.0239631926070946
"SPG20","SPG20",8.48516687314282e-08,0.00145647889377496
"RNF128","RNF128",1.23180092338877e-11,2.11438628499683e-07
"TMEM254","TMEM254",4.59222452535183e-07,0.00788255339776641
"LRRCC1","LRRCC1",1.04405428196976e-10,1.7921191750011e-06
"TEX15","TEX15",1.0068949698736e-07,0.00172833521578803
"CCNB1","CCNB1",2.36335637873929e-09,4.05670122410599e-05
"REG4","REG4",1.19348562784283e-21,2.04861808019222e-17
"HMGCS2","HMGCS2",8.06658416878616e-14,1.38462917257214e-09
"NOTCH2","NOTCH2",1.64622371720662e-07,0.00282574301058516
"SLC38A2","SLC38A2",2.16073684106019e-28,3.70890478767981e-24
"IL6ST","IL6ST",3.24429535408594e-08,0.000556883297528851
"STK26","STK26",1.91503054760908e-10,3.28714993497099e-06
"HOOK1","HOOK1",4.0539998309669e-07,0.00695869070985468
"TCN1","TCN1",2.64385689793166e-10,4.53818036529969e-06
"PNPLA8","PNPLA8",2.03969611958176e-15,3.50113838926209e-11
"ELF5","ELF5",1.32427481085544e-07,0.00227311771283337
"SERPINE2","SERPINE2",1.04207888247304e-11,1.78872840176497e-07
"SCYL2","SCYL2",7.78096899294145e-10,1.3356033276384e-05
"NEK3","NEK3",8.83790622826948e-07,0.0151702660408246
"TBC1D4","TBC1D4",1.91586942524502e-12,3.28858986843307e-08
"BORA","BORA",2.71584474269195e-12,4.66174750083074e-08
"RCBTB1","RCBTB1",1.63248400477844e-06,0.0280215879420219
"SCEL","SCEL",3.31714479612445e-20,5.69387904254761e-16
"RCBTB2","RCBTB2",1.71976698400775e-06,0.029519800280493
"BRIP1","BRIP1",1.86552317758385e-10,3.20217053432268e-06
"GALNT5","GALNT5",1.79506494017933e-09,3.08122896981782e-05
"RPS6KC1","RPS6KC1",2.21106651130872e-07,0.00379529566666142
"DSCC1","DSCC1",1.28653623051986e-11,2.20833943968735e-07
"RANBP6","RANBP6",3.73664013727862e-15,6.41394279563876e-11
"DENND4C","DENND4C",2.04680204922048e-07,0.00351333571748695
"FAM8A1","FAM8A1",1.84117373564306e-08,0.000316037471723131
"NEK1","NEK1",1.98929971896981e-10,3.41463296761167e-06
"SORL1","SORL1",3.48202537633882e-11,5.97689655848559e-07
"TMPRSS4","TMPRSS4",6.00390118229797e-08,0.00103056963794145
"MMP7","MMP7",4.63171966022433e-76,7.95034679677506e-72
"C11orf70","C11orf70",1.50937644379333e-07,0.00259084466577126
"RDX","RDX",6.46329224089016e-16,1.1094241131488e-11
"KIF23","KIF23",3.82902296354172e-17,6.57251791691936e-13
"CASC5","CASC5",6.57486733349122e-18,1.12857597779377e-13
"UACA","UACA",7.50885635416632e-11,1.28889519319265e-06
"TMEM62","TMEM62",2.17804621041841e-07,0.0037386163201832
"CCBL2","CCBL2",2.62159652154843e-14,4.49997042923789e-10
"ARHGAP29","ARHGAP29",6.33728553203212e-35,1.08779506157331e-30
"IFI44","IFI44",4.80915396910115e-10,8.25491278796212e-06
"KIF11","KIF11",9.17785917112834e-13,1.57537952672418e-08
"CEP55","CEP55",1.79697009463901e-08,0.000308449916744785
"KIF20B","KIF20B",5.7797334757864e-09,9.92091251118736e-05
"GPR87","GPR87",4.4800120054694e-10,7.68994060738822e-06
"DNA2","DNA2",5.72526568541182e-14,9.82741854900938e-10
"NAB1","NAB1",9.8786907090736e-08,0.00169567726021248
"SLC40A1","SLC40A1",2.16238919265647e-21,3.71174104919484e-17
"SLC35A5","SLC35A5",1.5402786605464e-09,2.6438883208279e-05
"MNS1","MNS1",2.03058478205015e-08,0.000348549877838908
"ZGRF1","ZGRF1",1.26942958907942e-12,2.17897588965482e-08
"AP1AR","AP1AR",7.87710648212056e-07,0.0135210532765599
"KIAA1109","KIAA1109",2.72884658585904e-08,0.000468406516462705
"CENPE","CENPE",1.68944387867871e-20,2.89993041775201e-16
"SLC39A8","SLC39A8",1.83222923211689e-07,0.00314502147692864
"FBN2","FBN2",2.59117375370944e-07,0.00444774974824225
"AMIGO2","AMIGO2",4.40818250460111e-10,7.56664526914781e-06
"SCAF11","SCAF11",5.65941595814645e-12,9.71438749215837e-08
"DUSP6","DUSP6",3.24327317151164e-11,5.56707839889972e-07
"POC1B","POC1B",2.00917007379397e-09,3.44874043166735e-05
"TMTC3","TMTC3",8.92165369360679e-12,1.53140185650761e-07
"NEDD1","NEDD1",2.23496548553916e-09,3.83631825592797e-05
"MTMR6","MTMR6",4.03118359560032e-10,6.91952664184796e-06
"BRCA2","BRCA2",1.11313685677167e-17,1.91069941464857e-13
